Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Ridge Classifier,0.8121,0.9005,0.8099,0.438,0.5669,0.4613,0.4976,0.018
Linear Discriminant Analysis,0.8128,0.9004,0.8099,0.4389,0.5677,0.4624,0.4985,0.019
Gradient Boosting Classifier,0.8741,0.8916,0.4478,0.6165,0.5155,0.4455,0.4548,0.098
Light Gradient Boosting Machine,0.8727,0.8863,0.3802,0.6329,0.47,0.4034,0.4229,0.125
Random Forest Classifier,0.8836,0.8785,0.3802,0.7094,0.4914,0.4333,0.4618,0.048
Ada Boost Classifier,0.8632,0.8658,0.5524,0.5535,0.5485,0.4685,0.4711,0.04
Extra Trees Classifier,0.887,0.8536,0.3798,0.7532,0.5003,0.4448,0.4803,0.039
Quadratic Discriminant Analysis,0.7641,0.8299,0.6478,0.4101,0.4827,0.3647,0.3804,0.021
Logistic Regression,0.7475,0.8114,0.7235,0.3411,0.4625,0.3247,0.3649,0.421
Naive Bayes,0.6937,0.7793,0.6785,0.2853,0.4006,0.2396,0.2804,0.02
SVM - Linear Kernel,0.3815,0.6828,0.7466,0.1879,0.2366,0.0399,0.0462,0.021
Decision Tree Classifier,0.8203,0.6788,0.4747,0.4186,0.4431,0.3369,0.3389,0.02
K Neighbors Classifier,0.6807,0.6549,0.5609,0.2514,0.3468,0.1752,0.1995,0.336
Dummy Classifier,0.8496,0.0,0.0,0.0,0.0,0.0,0.0,0.019
